THETA 1,THETA 4
111.11751264882707,142.84885110780777
110.69752194073163,142.03365147947642
110.2652382150597,141.21465893664026
109.82059439492639,140.3918620023642
109.36353190453079,139.5652534077526
108.89400116275112,138.73483029697002
108.41196207015085,137.90059443836617
107.91738448638105,137.06255244140706
107.41024869482436,136.22071597906057
106.89054585120459,135.37510201522417
106.35827841279198,134.52573303672165
105.81346054476654,133.67263728932576
105.25611850026789,132.81584901719407
104.68629097065784,131.95540870502882
104.10402940256012,131.09136332219236
103.50939827831732,130.22376656792727
102.90247535662135,129.35267911674194
103.40372243369504,129.2460535666594
103.90975712042544,129.14097960232957
104.42071531998295,129.03747695820587
104.93673780963056,128.93556594139943
105.45797048139906,128.83526744517994
105.9845645977488,128.73660296288716
106.5166770633804,128.63959460226323
107.05447071446304,128.5442651002153
107.59811462667159,128.4506378380182
108.14778444355662,128.35873685696717
108.70366272692189,128.268586874491
109.26593933105002,128.1802133007353
109.83481180280438,128.09364225562535
110.41048580984418,128.00890058642022
110.99317559942398,127.9260158857661
111.58310449051365,127.8450165102604
111.19820688635971,127.26702497218584
110.80728319812488,126.68671754082872
110.41034310785571,126.10409972559634
110.00739946582766,125.51917836028963
109.59846834646743,124.93196164842895
109.18356909954139,124.34245920921609
108.76272439631563,123.75068212408291
108.3359602704027,123.15664298377311
107.9033061530231,122.56035593589849
107.46479490242399,121.96183673290501
107.0204628272138,121.36110278037907
106.57034970339043,120.75817318561822
106.11449878485934,120.15306880638428
105.65295680726243,119.54581229975153
105.18577398495898,118.93642817095514
104.71300400102794,118.32494282213923
104.6443874163075,118.32241496633318
104.5758613771217,118.31992224589179
104.5074256062085,118.3174646033018
104.439079827434,118.31504198116241
104.37082376578644,118.31265432218495
104.30265714736998,118.31030156919294
104.23457969939858,118.30798366512194
104.1665911501899,118.30570055301932
104.09869122915933,118.30345217604452
104.03087966681389,118.30123847746852
103.96315619474643,118.29905940067395
103.89552054562964,118.29691488915506
103.82797245321015,118.2948048865174
103.76051165230274,118.29272933647795
103.6931378787846,118.2906881828647
103.62585086958947,118.288681369617
103.10781070109726,118.41176727927046
102.59584298585278,118.53602323960115
102.08975798288321,118.66143148727326
101.58937378150958,118.7879748299755
101.09451587015045,118.9156366291024
100.60501673463355,119.04440078309162
100.12071548358293,119.17425171139206
99.64145749868285,119.305174339037
99.16709410782963,119.43715408179959
98.69748227936677,119.5701768319077
98.23248433576623,119.70422894429629
97.77196768526608,119.83929722337713
97.31580457010935,119.97536891030524
96.86387183014673,120.11243167072371
96.4160506806748,120.25047358296834
95.97222650347754,120.38948312671492
95.50203486316957,119.82109959959953
95.02781933696895,119.25197885357822
94.54964494193692,118.68216541919327
94.06757844460628,118.11170532818093
93.58168830423375,117.54064611888755
93.09204461313024,116.96903684002999
92.59871903420202,116.39692805272156
92.10178473584406,115.82437183068596
91.60131632433735,115.25142175858197
91.09738977390879,114.67813292836314
90.59008235462221,114.10456193359941
90.0794725582731,113.53076686168845
89.56564002246867,112.95680728388795
89.04866545307806,112.38274424310254
88.52863054524309,111.80864023936253
88.00561790314313,111.23455921293484
87.95301512967,111.24235497600947
87.90046371688788,111.25017242498916
87.8479635182195,111.25801152342822
87.79551438760606,111.26587223498417
87.74311617950485,111.27375452341735
87.69076874888674,111.28165835259075
87.63847195123367,111.28958368646978
87.58622564253619,111.29753048912183
87.5340296792912,111.30549872471622
87.4818839184992,111.31348835752365
87.42978821766224,111.32149935191626
87.37774243478125,111.32953167236721
87.32574642835385,111.33758528345017
87.27380005737189,111.34566014983953
87.22190318131905,111.35375623630992
87.17005566016869,111.36187350773574
86.80462939543906,111.56018123903102
86.44178503952833,111.75855513283867
86.08145139710018,111.95700158777163
85.72355955124269,112.15552692267536
85.36804276335292,112.35413738078844
85.01483637832754,112.55283913375601
84.66387773472115,112.7516382855037
84.31510607955997,112.95054087598
83.96846248752053,113.14955288477361
83.62388978420401,113.34868023461306
83.28133247325673,113.54792879475451
82.94073666710418,113.74730438426354
82.60205002108242,113.94681277519771
82.26522167076561,114.146459695694
81.93020217230267,114.34625083296734
81.5969434455877,114.54619183622458
81.1075617837908,114.01005491149245
80.61565622300262,113.4745345006668
80.12129335001211,112.93968874278946
79.6245401395486,112.40557663925603
79.12546389878526,111.87225802474256
78.62413221180205,111.33979353650605
78.12061288411854,110.8082445820704
77.61497388740315,110.27767330531327
77.1072833044646,109.74814255097374
76.5976092746296,109.21971582760722
76.08601993960659,108.69245726901568
75.5725833899339,108.16643159418965
75.05736761210639,107.64170406580148
74.54044043647173,107.11834044729372
74.02186948598336,106.5964069586135
73.50172212589328,106.0759702306475
74.08525129481359,105.48616052106274
74.67267239088318,104.89225116674787
75.26426732932262,104.29394957586592
75.86033421511885,103.690946180797
76.46118885164583,103.08291285364186
77.06716641160878,102.46950115013742
77.6786232923289,101.85034035858577
78.29593918089648,101.22503532664562
78.91951935889304,100.59316403436672
79.54979728135481,99.95427487651504
80.18723747060812,99.30788361084491
80.83233877276524,98.65346992127672
81.4856380333203,97.99047353563537
82.14771425877672,97.31828982628959
82.81919334403776,96.6362648082241
83.50075346097836,95.94368943211268
82.1786261083131,94.59545142605525
80.85080292724041,93.25296006256293
79.51837161511133,91.91738291443424
78.1823903927328,90.58990977223907
76.8438842401165,89.2717471818209
75.50384160058678,87.96411258115619
74.16321155768185,86.66822809264264
72.82290148145307,85.38531403702856
71.48377513379421,84.11658224439108
70.14665121639891,82.86322924543805
68.81230233989027,81.62642943260158
67.48145438859618,80.40732828457888
66.15478625233524,79.20703574992211
64.83292989437334,78.02661988479572
63.51647072334768,76.86710083703532
62.205948236341385,75.72944526317454
62.652074492549616,74.02458941130222
63.087735543964016,72.24513366289898
63.51236246371374,70.38200884783575
63.925317190605284,68.4245377350433
64.32588409771253,66.3600208489804
64.7132602761344,64.17317541346907
65.08654431919567,61.845357778553684
65.44472335356963,59.35345654379118
65.786658018125,56.66826605480405
66.11106503778137,53.75200298911881
66.41649697742417,50.554331745661266
66.70131868932219,47.00561467964169
66.96367988637178,43.004531731965386
67.20148318368811,38.39287154134013
67.41234685511435,32.89582662509308
67.59356145454825,25.941554618779193
61.68974485733247,21.12488557955774
56.189161430475366,17.901029035940354
51.05424862896615,15.934887613782152
46.24833073562212,14.863359401099743
41.73687288237656,14.403353570122448
37.488073548293784,14.361186437190668
33.47305467150714,14.609890049966879
29.665817484706423,15.066437845659266
29.6674045541329,15.308564499929716
29.668862914903542,15.549476752467612
29.670192976858885,15.789187384155213
29.671395148167363,16.027708962288315
29.672469835329238,16.265053845806108
29.67341744318074,16.501234190351894
29.67423837489794,16.736261953168537
29.674933032000993,16.970148897838584
30.203629808160315,20.976030526384676
30.682400874793117,24.753446523637862
31.11293588609381,28.324209899673818
31.49691743757107,31.70747202055911
31.836008654805894,34.92017047092333
32.13184276544966,37.97736795441656
32.386014484088804,40.8925181645589
32.60007302959582,43.67768044808245
33.6551505629794,44.13509655827681
34.71991206104681,44.61897858143754
35.79450510026105,45.13000001428165
36.87906981702746,45.668818058005996
37.973738002145524,46.23606856849035
39.07863212687164,46.832360628925045
40.19386429804706,47.458270771669504
41.31953513998394,48.11433688766548
41.44566976916312,48.09842801744819
41.57204341380384,48.08270258334976
41.69865742118003,48.0671619155684
41.82551314700825,48.05180735741918
41.760324892208644,44.78840425929759
41.645813473572105,41.297881616871585
41.479015036853184,37.54425737112579
41.256761026885385,33.48252055394781
44.158750401898686,34.61894719612452
47.16196005410987,35.993866492243775
50.27224617180639,37.63256253893953
53.4952995205289,39.55893279198905
53.489349513081635,48.73473444958925
53.244825006105316,56.22786986299557
52.7984539505166,62.59948483157117
52.17940194022384,68.17349596187262
51.845074186497015,70.05774032116241
51.49321106139084,71.8693566298136
51.124619883530755,73.61540703637044
50.74003243927871,75.30208249849291
50.768557533368124,75.49870496926214
50.79675539585216,75.69478302080718
50.824627005855774,75.89031995550067
50.85217334084189,76.08531905578822
51.08693467553371,76.25448369855994
51.321938018578834,76.42453065281288
51.55718180063124,76.59545764758306
51.7926644120285,76.76726233787664
53.85087261601109,78.35705687404548
55.923389899390344,80.00976030660605
58.00852054772932,81.72275453425421
60.104304740149956,83.49302582017887
59.36333787345163,85.50980783408215
58.60605568176254,87.45038542179022
57.833038523287456,89.32405797024514
57.044748075818205,91.13881995255109
52.743620051122974,87.73521848464874
48.47359844734527,84.58059805110886
44.24864972783766,81.6928176132332
40.078560453749816,79.08342981650739
40.41948564598644,77.24804768029392
40.73426194965597,75.36076780281132
41.021917978071656,73.416603443531
41.28138432905047,71.41002089199566
39.312692015608036,70.16693555793066
37.361531356703296,68.99347195002383
35.42819095100002,67.88946514485254
33.51280881970345,66.85443710529346
33.44705478325193,67.0425609585024
33.381120903508446,67.23008056415577
33.31500756049218,67.41700256525603
33.24871512569109,67.60333352048696
33.05669790372052,69.50092193528917
32.838300936884664,71.34829131256845
32.59431238602538,73.14928093576258
32.32545545608551,74.90742494268576
31.472655166168252,74.50374633501708
30.62272613699254,74.11263542022607
29.775650588481952,73.73401867796656
28.931406200199277,73.36781590251871
28.887023919687437,73.29885828973889
28.84260430217911,73.22991389410846
28.798147400297736,73.16098284179182
28.753653266747506,73.09206525917944
